Timestamp,UserID,Event Name,UUID,Param/redBulletsFired,Param/totalTimesPlayerHasSwitched,Param/timesPlayerHasSwitched
6/11/2023 18:22:11,NULL,TimesSwitched,7b2fcb80b77c1708795eff5fbe9222d7,,,14
6/11/2023 18:22:12,NULL,TimesSwitched,882154d076a58a3245f7fc8c33ade628,,,15
6/11/2023 18:22:13,NULL,TimesSwitched,d32b830cfecb693cea616351eb02f76b,,,16
6/11/2023 18:22:16,NULL,TimesSwitched,7dc874192f78028e059054e4bbfa4cb3,,,17
6/11/2023 18:22:17,NULL,TimesSwitched,22b0ec4d4637f27e44f2b1f561f3417f,,,18
6/11/2023 18:22:18,NULL,TimesSwitched,6f0445f2fb761fa19304446ab34899b4,,,19
6/11/2023 18:22:21,NULL,TimesSwitched,a48649f3850e73e731fbe792f99622de,,,1
6/11/2023 18:22:55,NULL,TimesSwitched,ab03a1b6ae88bfbdf0a2e617db12f5a6,,,1
6/11/2023 18:23:00,NULL,TimesSwitched,43f76fafa5dc63f807ea646d8045bc56,,,2
6/11/2023 18:23:03,NULL,TimesSwitched,a63ced7c2d0cbea350a68cd014f80b4e,,,3
6/11/2023 18:23:04,NULL,TimesSwitched,ce2f35e759d0a06ff7b26b76fe832d0b,,,4
6/11/2023 18:23:05,NULL,TimesSwitched,a1fc1713a3726e6a2423357280096143,,,5
6/11/2023 18:23:07,NULL,TimesSwitched,15582f915e9fe28ec7b9576b5ebb9c2d,,,6
6/11/2023 18:23:08,NULL,TimesSwitched,216350ab517c501728e1c520a1f10e11,,,7
6/11/2023 18:23:08,NULL,TimesSwitched,216350ab517c501728e1c520a1f10e11,,,8
6/11/2023 18:23:09,NULL,TimesSwitched,08810fd6d371d6e5481a84dd2a7fc137,,,9
6/11/2023 18:23:10,NULL,TimesSwitched,7e6dd718436fd1554452a1f7ee1c1867,,,10
6/11/2023 18:23:10,NULL,TimesSwitched,7e6dd718436fd1554452a1f7ee1c1867,,,11
6/11/2023 18:23:11,NULL,TimesSwitched,31a7ad341f52efa356b61393abc9ce6a,,,12
6/11/2023 18:23:12,NULL,TimesSwitched,dd605ad6ce151efc25078aaab3813ac9,,,13
6/11/2023 18:23:16,NULL,TimesSwitched,65517e4287fd1a00d39bae82779c6bdb,,,14
6/11/2023 18:23:17,NULL,TimesSwitched,c2479ee41ec8e067f6c32caafd1e24b8,,,15
6/11/2023 18:23:18,NULL,TimesSwitched,c357284b9f71cd7b5dcd69f1516ec280,,,16
6/11/2023 18:23:21,NULL,TimesSwitched,bef0a57cbf485ce4469c89257a6134f7,,,17
6/11/2023 19:17:55,NULL,TimesSwitched,e8c77745036158eb8a5dd2a637952377,,,1
6/11/2023 19:17:56,NULL,TimesSwitched,e21cd82764ff32b07b957b8832ad6d21,,,2
6/11/2023 19:17:57,NULL,TimesSwitched,c58abd6d59f494b9a1e43f57e24f3e61,,,3
6/11/2023 19:17:59,NULL,TimesSwitched,9939477939db235b86e0ac882ea3e6b6,,,4
6/11/2023 19:18:00,NULL,TimesSwitched,7d43c2880ca52d474b5caa5163a2293e,,,5
6/11/2023 19:18:17,NULL,TimesSwitched,4a74c836be2915bf7ed1340a379dc3d2,,,1
